batsman,runs,balls,outs,fours,sixes,strike_rate,average,innings,dob,batting_hand,bowling_skill,country
A Ashish Reddy,280,193,15.0,16,15,145.0777202072539,18.666666666666668,23,1991-02-24,Right_Hand,Right-arm medium,India
A Chandila,4,7,0.0,0,0,57.14285714285714,,2,1983-12-05,Right_Hand,Right-arm offbreak,India
A Chopra,53,71,6.0,7,0,74.64788732394366,8.833333333333334,6,1977-09-19,Right_Hand,Right-arm offbreak,India
A Choudhary,25,20,1.0,1,1,125.0,25.0,3,,Right_hand,Left-arm fast-medium,
A Dananjaya,4,5,0.0,0,0,80.0,,1,,Right_Hand,Right-arm offbreak,
A Flintoff,62,53,2.0,5,2,116.98113207547169,31.0,3,1977-12-06,Right_Hand,Right-arm fast-medium,England
A Hales,152,117,6.0,13,6,129.9145299145299,25.333333333333332,6,,Right_hand,,
A Joseph,15,13,0.0,2,0,115.38461538461537,,1,,Right_Hand,Right-arm fast,
A Kumble,35,47,3.0,3,0,74.46808510638297,11.666666666666666,15,1970-10-17,Right_Hand,Legbreak googly,India
A Mishra,368,387,31.0,30,5,95.09043927648578,11.870967741935484,54,1982-11-24,Right_Hand,Legbreak,India
A Mithun,34,26,5.0,4,1,130.76923076923077,6.8,6,1989-10-25,Right_Hand,Right-arm medium,India
A Mukund,19,22,2.0,1,0,86.36363636363636,9.5,2,1990-01-06,Right_Hand,Legbreak googly,India
A Nehra,41,60,7.0,3,1,68.33333333333333,5.857142857142857,17,1979-04-29,Right_Hand,Left-arm medium-fast,India
A Singh,2,9,4.0,0,0,22.22222222222222,0.5,5,1981-06-21,Right_Hand,Right-arm medium-fast,India
A Symonds,974,745,27.0,74,41,130.73825503355704,36.074074074074076,36,1975-06-09,Right_Hand,Right-arm offbreak,Australia
A Turner,4,10,3.0,0,0,40.0,1.3333333333333333,4,,Right_Hand,,
A Uniyal,4,7,1.0,0,0,57.14285714285714,4.0,2,1981-11-21,Right_Hand,Left-arm medium,India
A Zampa,5,8,2.0,1,0,62.5,2.5,2,1992-03-31,Right_Hand,Legbreak googly,Australia
AA Bilakhia,69,84,5.0,5,0,82.14285714285714,13.8,7,1986-05-31,Right_Hand,Right-arm medium,India
AA Chavan,12,11,2.0,2,0,109.09090909090908,6.0,3,1985-10-28,Right_Hand,Slow left-arm orthodox,India
AA Jhunjhunwala,217,209,13.0,19,5,103.82775119617224,16.692307692307693,15,1982-12-01,Right_Hand,Right-arm offbreak,India
AA Noffke,9,10,1.0,1,0,90.0,9.0,1,1977-04-30,Right_Hand,Right-arm fast-medium,Australia
AB Agarkar,179,151,10.0,13,5,118.5430463576159,17.9,18,1977-12-04,Right_Hand,Right-arm fast,India
AB Barath,42,42,2.0,5,1,100.0,21.0,3,1990-04-14,Left_Hand,Right-arm offbreak,India
AB Dinda,26,48,10.0,2,0,54.166666666666664,2.6,16,1984-03-25,Right_Hand,Right-arm medium-fast,India
AB McDonald,123,100,5.0,9,4,123.0,24.6,9,1981-06-05,Right_Hand,Right-arm fast-medium,Australia
AB de Villiers,4428,2903,110.0,357,214,152.53186358939027,40.25454545454546,142,1984-02-17,Right_Hand,Right-arm medium,South Africa
AC Blizzard,120,90,7.0,21,2,133.33333333333331,17.142857142857142,7,1984-06-27,Left_Hand,Left-arm medium,Australia
AC Gilchrist,2069,1483,76.0,239,92,139.51449763991909,27.223684210526315,80,1971-11-14,Left_Hand,Right-arm offbreak,Australia
AC Thomas,20,19,2.0,1,1,105.26315789473684,10.0,4,1977-02-09,Right_Hand,Right-arm fast-medium,England
AC Voges,181,143,4.0,15,3,126.57342657342659,45.25,7,1979-10-04,Right_Hand,Slow left-arm orthodox,Australia
AD Mascarenhas,79,78,9.0,5,1,101.28205128205127,8.777777777777779,11,1977-10-30,Right_Hand,Right-arm fast-medium,England
AD Mathews,724,573,31.0,44,29,126.35253054101221,23.35483870967742,41,1987-06-02,Right_Hand,Right-arm fast-medium,Sri Lanka
AD Nath,91,98,10.0,7,2,92.85714285714286,9.1,10,1993-05-10,Right_Hand,Right-arm medium-fast,India
AD Russell,1445,750,42.0,98,119,192.66666666666669,34.404761904761905,52,1988-04-29,Right_Hand,Right-arm fast,West Indies
AF Milne,7,12,2.0,0,0,58.333333333333336,3.5,3,1992-04-13,Right_Hand,Right-arm fast,New Zealand
AG Murtaza,10,14,1.0,1,0,71.42857142857143,10.0,3,1990-01-01,Left_Hand,Slow left-arm orthodox,India
AG Paunikar,49,55,5.0,9,0,89.0909090909091,9.8,5,1988-04-18,Right_Hand,,India
AJ Finch,1744,1326,67.0,176,67,131.5233785822021,26.029850746268657,73,1986-11-17,Right_Hand,Slow left-arm orthodox,Australia
AJ Tye,94,69,8.0,7,4,136.23188405797103,11.75,12,,Right_hand,Right-arm fast-medium,
AL Menaria,401,354,21.0,24,18,113.27683615819208,19.095238095238095,23,1990-10-29,Left_Hand,Slow left-arm orthodox,India
AM Nayar,672,573,38.0,55,20,117.27748691099475,17.68421052631579,50,1983-10-08,Left_Hand,Right-arm medium,India
AM Rahane,3850,3132,116.0,405,74,122.92464878671777,33.189655172413794,132,1988-06-06,Right_Hand,Right-arm medium,India
AN Ahmed,36,26,1.0,4,1,138.46153846153845,36.0,6,1988-11-05,Right_Hand,Right-arm medium-fast,India
AN Ghosh,7,8,2.0,1,0,87.5,3.5,2,1986-10-19,Right_Hand,Right-arm medium,India
AP Dole,34,22,2.0,3,1,154.54545454545453,17.0,2,1987-10-09,Right_Hand,Right-arm medium-fast,India
AP Majumdar,87,76,4.0,7,2,114.4736842105263,21.75,4,1984-04-30,Right_Hand,Legbreak googly,India
AP Tare,339,272,24.0,40,11,124.63235294117648,14.125,27,1987-11-07,Right_Hand,,India
AR Bawne,12,12,0.0,1,0,100.0,,1,,Right_Hand,,
AR Patel,806,629,42.0,47,35,128.13990461049286,19.19047619047619,62,1994-01-20,Left_Hand,Slow left-arm orthodox,India
AS Rajpoot,18,31,4.0,2,0,58.06451612903226,4.5,5,1993-12-04,Right_Hand,Right-arm medium,India
AS Raut,194,167,9.0,13,7,116.1676646706587,21.555555555555557,16,1987-03-03,Right_Hand,Legbreak googly,India
AS Yadav,1011,749,32.0,113,28,134.9799732977303,31.59375,35,,Right_hand,,
AT Rayudu,3326,2609,115.0,278,120,127.48179379072442,28.921739130434784,138,1985-09-23,Right_Hand,Right-arm offbreak,India
AUK Pathan,39,23,5.0,5,2,169.56521739130434,7.8,7,1984-06-17,Right_Hand,Right-arm medium,India
Abdur Razzak,0,2,0.0,0,0,0.0,,1,1982-06-15,Left_Hand,Slow left-arm orthodox,Bangladesh
Anirudh Singh,63,66,4.0,6,1,95.45454545454545,15.75,4,1980-08-02,Left_Hand,Right-arm medium,India
Ankit Sharma,164,109,10.0,11,9,150.45871559633028,16.4,16,1991-04-20,Left_Hand,Slow left-arm orthodox,India
Ankit Soni,7,9,2.0,0,1,77.77777777777779,3.5,3,,Right_hand,Legbreak,
Anureet Singh,37,47,4.0,2,1,78.72340425531915,9.25,8,1988-03-02,Right_Hand,Right-arm medium,India
Avesh Khan,4,3,0.0,1,0,133.33333333333331,,1,,Right_Hand,Right-arm fast-medium,
Azhar Mahmood,388,303,19.0,39,13,128.05280528052805,20.42105263157895,21,1975-02-28,Right_Hand,Right-arm fast-medium,Pakistan
B Akhil,76,55,6.0,5,5,138.1818181818182,12.666666666666666,11,1977-10-07,Right_Hand,Right-arm medium-fast,India
B Chipli,280,250,15.0,28,7,112.00000000000001,18.666666666666668,21,1983-01-27,Right_Hand,Right-arm medium,India
B Kumar,190,192,24.0,18,3,98.95833333333334,7.916666666666667,41,1990-02-05,Right_Hand,Right-arm medium,India
B Laughlin,5,13,2.0,0,0,38.46153846153847,2.5,4,1982-10-03,Right_Hand,Right-arm fast-medium,Australia
B Lee,124,96,10.0,8,8,129.16666666666669,12.4,19,1976-11-08,Right_Hand,Right-arm fast,Australia
B Stanlake,5,2,0.0,1,0,250.0,,1,,Right_Hand,Right-arm fast,
B Sumanth,35,37,1.0,3,0,94.5945945945946,35.0,4,1988-05-10,Right_Hand,Right-arm medium-fast,India
BA Bhatt,6,7,1.0,0,1,85.71428571428571,6.0,2,1990-05-13,Left_Hand,Slow left-arm orthodox,India
BA Stokes,647,478,28.0,43,25,135.35564853556485,23.107142857142858,32,,Left_Hand,Right-arm fast-medium,
BAW Mendis,3,6,2.0,0,0,50.0,1.5,3,1985-03-11,Right_Hand,Right-arm offbreak,Sri Lanka
BB McCullum,2893,2176,104.0,293,129,132.95036764705884,27.817307692307693,109,1981-09-27,Right_Hand,Right-arm medium,New Zealand
BB Samantray,125,113,5.0,13,2,110.61946902654867,25.0,8,1988-12-14,Right_Hand,,India
BB Sran,11,13,1.0,0,0,84.61538461538461,11.0,7,1992-12-10,Left_Hand,Left-arm medium,India
BCJ Cutting,240,141,11.0,15,19,170.2127659574468,21.818181818181817,17,1987-01-30,Right_Hand,Right-arm fast-medium,Australia
BE Hendricks,1,3,1.0,0,0,33.33333333333333,1.0,2,1990-06-08,Left_Hand,Left-arm fast-medium,South Africa
BJ Haddin,18,11,1.0,2,1,163.63636363636365,18.0,1,1977-10-23,Right_Hand,,Australia
BJ Hodge,1400,1112,42.0,122,43,125.89928057553956,33.333333333333336,63,1974-12-29,Right_Hand,Right-arm offbreak,Australia
BJ Rohrer,193,141,7.0,21,5,136.8794326241135,27.571428571428573,8,1981-03-26,Left_Hand,Right-arm offbreak,Australia
BMAJ Mendis,23,27,3.0,0,0,85.18518518518519,7.666666666666667,3,1983-01-15,Left_Hand,Right-arm offbreak,Sri Lanka
BR Dunk,40,35,3.0,7,0,114.28571428571428,13.333333333333334,3,1987-03-11,Left_Hand,Right-arm fast,Australia
Basil Thampi,32,35,1.0,1,1,91.42857142857143,32.0,7,,Right_hand,Right-arm fast,
