bowler,runs_conceded,legal_balls,overs,wickets,economy,bowling_avg,bowling_sr,dob,batting_hand,bowling_skill,country
A Ashish Reddy,396,262,43.666666666666664,18.0,9.068702290076336,22.0,14.555555555555555,1991-02-24,Right_Hand,Right-arm medium,India
A Chandila,242,234,39.0,11.0,6.205128205128205,22.0,21.272727272727273,1983-12-05,Right_Hand,Right-arm offbreak,India
A Choudhary,144,101,16.833333333333332,5.0,8.554455445544555,28.8,20.2,,Right_hand,Left-arm fast-medium,
A Dananjaya,48,24,4.0,0.0,12.0,,,,Right_Hand,Right-arm offbreak,
A Flintoff,105,66,11.0,2.0,9.545454545454545,52.5,33.0,1977-12-06,Right_Hand,Right-arm fast-medium,England
A Joseph,92,52,8.666666666666666,6.0,10.615384615384617,15.333333333333334,8.666666666666666,,Right_Hand,Right-arm fast,
A Kumble,1058,965,160.83333333333334,45.0,6.578238341968912,23.511111111111113,21.444444444444443,1970-10-17,Right_Hand,Legbreak googly,India
A Mishra,3804,3102,517.0,156.0,7.3578336557059965,24.384615384615383,19.884615384615383,1982-11-24,Right_Hand,Legbreak,India
A Mithun,472,288,48.0,7.0,9.833333333333334,67.42857142857143,41.142857142857146,1989-10-25,Right_Hand,Right-arm medium,India
A Nehra,2495,1908,318.0,106.0,7.845911949685535,23.537735849056602,18.0,1979-04-29,Right_Hand,Left-arm medium-fast,India
A Nel,31,18,3.0,1.0,10.333333333333334,31.0,18.0,1977-07-15,Right_Hand,Right-arm fast-medium,South Africa
A Roy,14,12,2.0,1.0,7.0,14.0,12.0,,Left_Hand,Slow left-arm orthodox,
A Singh,742,533,88.83333333333333,31.0,8.352720450281426,23.93548387096774,17.193548387096776,1981-06-21,Right_Hand,Right-arm medium-fast,India
A Symonds,674,527,87.83333333333333,20.0,7.673624288425048,33.7,26.35,1975-06-09,Right_Hand,Right-arm offbreak,Australia
A Uniyal,66,36,6.0,2.0,11.0,33.0,18.0,1981-11-21,Right_Hand,Left-arm medium,India
A Zampa,278,221,36.833333333333336,19.0,7.547511312217194,14.631578947368421,11.631578947368421,1992-03-31,Right_Hand,Legbreak googly,Australia
AA Chavan,326,248,41.333333333333336,8.0,7.887096774193548,40.75,31.0,1985-10-28,Right_Hand,Slow left-arm orthodox,India
AA Jhunjhunwala,129,85,14.166666666666666,1.0,9.105882352941176,129.0,85.0,1982-12-01,Right_Hand,Right-arm offbreak,India
AA Kazi,21,12,2.0,0.0,10.5,,,1989-09-29,Right_Hand,Slow left-arm orthodox,India
AA Noffke,40,24,4.0,1.0,10.0,40.0,24.0,1977-04-30,Right_Hand,Right-arm fast-medium,Australia
AB Agarkar,1151,782,130.33333333333334,29.0,8.831202046035806,39.689655172413794,26.96551724137931,1977-12-04,Right_Hand,Right-arm fast,India
AB Dinda,2073,1516,252.66666666666666,69.0,8.20448548812665,30.043478260869566,21.971014492753625,1984-03-25,Right_Hand,Right-arm medium-fast,India
